PEACF-30,
X,Y
0.9958 , 363.0837
0.9764 , 357.6593
0.9581 , 354.9356
0.9467 , 353.5706
0.9101 , 346.7736
0.8987 , 345.4087
0.8518 , 338.5978
0.8027 , 333.1333
0.7535 , 329.0184
0.7021 , 323.5509
0.6529 , 318.0865
0.6049 , 313.9731
0.5535 , 311.2046
0.5055 , 308.4408
0.4552 , 302.9748
0.4061 , 298.8599
0.3546 , 297.4410
0.3055 , 293.3261
0.2552 , 290.5592
0.2038 , 286.4412
0.1523 , 280.9736
0.1043 , 276.8603
0.0746 , 272.7716
0.0643 , 268.7091
0.0426 , 264.6312
0.0312 , 259.2177
0.0209 , 251.1066
