PET-815-Air,
X,Y
0.9986 , 2.0987
0.9920 , 1.7758
0.9821 , 1.6547
0.9527 , 1.5336
0.9036 , 1.5336
0.8512 , 1.4126
0.8021 , 1.3318
0.7530 , 1.3318
0.7006 , 1.2108
0.6499 , 1.1300
0.6008 , 1.1300
0.5500 , 1.0897
0.4993 , 0.9283
0.4518 , 0.7265
0.3994 , 0.6457
0.3503 , 0.5650
0.2996 , 0.5247
0.2504 , 0.4036
0.1981 , 0.3229
0.1522 , 0.2825
0.0982 , 0.2825
0.0475 , 0.2422
0.0098 , 0.2018
