PET-8120-CO2,
X,Y
0.9954 , 3.3094
0.9806 , 2.7040
0.9511 , 2.5426
0.9037 , 2.4619
0.8513 , 2.3408
0.8022 , 2.2197
0.7514 , 2.0987
0.7007 , 2.0179
0.6516 , 1.9372
0.6025 , 1.8161
0.5517 , 1.7354
0.4993 , 1.6143
0.4502 , 1.5336
0.3995 , 1.4529
0.3487 , 1.3318
0.3013 , 1.2108
0.2505 , 1.1300
0.1998 , 1.0090
0.1490 , 0.9283
0.0999 , 0.8475
0.0475 , 0.6861
0.0082 , 0.6054
