0,0113	159,5922
0,0137	164,5968
0,0162	169,0454
0,0188	171,8258
0,0231	176,2743
0,0256	179,0547
0,0306	181,8350
0,0406	188,5079
0,0600	196,2929
0,0775	203,5218
0,1006	209,0825
0,1275	214,6432
0,1538	219,0918
0,1800	222,4282
0,2081	226,3207
0,2531	231,3253
0,3063	236,3299
0,3375	237,4421
0,3631	239,6664
0,3750	241,3346
0,4006	243,0028
0,4250	244,1149
0,4500	244,6710
0,4756	247,4513
0,5000	248,0074
0,5500	249,6756
0,6006	250,7878
0,6506	251,8999
0,7000	254,1242
0,7513	254,1242
0,8012	257,4606
0,8506	258,0167
0,9019	259,1288
0,9269	259,6849
0,9506	261,3531
0,9744	263,5774
0,9812	264,1335
0,9875	264,6895
0,9956	266,3577
