OPKC7,
X,Y
0.0082 , 128.1847
0.0301 , 137.6383
0.0620 , 140.0225
0.0820 , 140.0383
0.1021 , 142.8064
0.1217 , 142.0354
0.1413 , 142.4440
0.1604 , 142.8522
0.1796 , 142.8673
0.2001 , 144.4562
0.2489 , 144.4945
0.2985 , 143.7472
0.3683 , 144.1952
0.4202 , 144.2361
0.4699 , 142.7024
0.5191 , 143.1343
0.5697 , 143.5673
0.6199 , 143.6067
0.6718 , 142.8612
0.7211 , 143.2931
0.7698 , 141.3655
0.8195 , 141.0114
0.8751 , 141.0551
0.8993 , 143.4332
0.9398 , 143.0720
0.9572 , 142.2992
0.9681 , 143.0942
0.9790 , 146.2483
0.9886 , 149.0081
