carbon_B,
X,Y
0.9494 , 208.6430
0.6996 , 208.5032
0.4997 , 207.9814
0.2599 , 207.2808
0.1996 , 206.5467
0.1504 , 206.3695
0.1001 , 205.8199
0.0749 , 204.5202
0.0445 , 203.2215
0.0257 , 200.0573
0.0157 , 198.3822
0.0053 , 194.0984
0.0005 , 184.7825
