AC67%,
X,Y
0.9548 , 339.3798
0.8689 , 336.5937
0.7856 , 334.1531
0.6963 , 331.3658
0.6122 , 328.9249
0.5221 , 326.4819
0.4388 , 323.6967
0.3496 , 319.8757
0.2654 , 315.7120
0.1787 , 310.1691
0.0988 , 302.5611
0.0836 , 299.7994
0.0685 , 297.3822
0.0550 , 293.9320
0.0432 , 290.1377
0.0365 , 287.7234
0.0281 , 283.5858
0.0256 , 281.5175
0.0214 , 277.3813
0.0180 , 273.5900
0.0121 , 269.7977
