S850-30%,
X,Y
0.9596 , 14.0535
0.8953 , 14.0370
0.7989 , 14.0055
0.7039 , 13.8360
0.5028 , 13.7312
0.3749 , 13.6983
0.2642 , 13.6247
0.1350 , 13.3849
0.0872 , 13.1346
0.0422 , 12.6776
0.0049 , 11.5450
