cp-34,
X,Y
0.9212 , 19.1530
0.7995 , 11.7869
0.7005 , 9.6332
0.5990 , 8.6625
0.5095 , 8.1679
0.4272 , 8.6218
0.3389 , 7.6542
0.2625 , 7.3994
0.1850 , 6.6710
0.1384 , 6.4233
0.1062 , 6.1790
0.0823 , 5.9366
0.0573 , 5.6940
0.0394 , 4.7430
0.0239 , 3.0826
