CS,
X,Y
0.0025 , 412.4618
0.0079 , 460.4850
0.0178 , 503.8463
0.0295 , 538.1752
0.0588 , 599.8569
0.1405 , 711.5388
0.2019 , 764.9773
0.2532 , 799.0598
0.2952 , 822.5008
0.3471 , 843.9656
0.3948 , 860.3626
0.4453 , 872.7132
0.4991 , 881.7069
0.5440 , 890.0686
0.5981 , 897.3128
0.6443 , 902.9792
0.7004 , 908.7534
0.7385 , 912.7802
0.0795 , 633.8481
0.1006 , 662.1622
0.0097 , 474.9035
0.0038 , 435.6499
0.0016 , 395.1094
0.0011 , 380.9524
-0.0000 , 365.5084
0.7695 , 916.9884
0.7944 , 919.5624
0.8139 , 922.1364
0.8377 , 925.3539
0.8550 , 927.9279
0.8690 , 929.8584
0.8858 , 931.1454
0.9015 , 932.4324
0.9156 , 933.0759
0.9329 , 938.2239
0.9481 , 943.3719
0.9621 , 948.5199
0.9729 , 953.6680
0.9827 , 962.6770
0.9913 , 972.9730
