ACK-2-8-2,
X,Y
0.9892 , 709.3437
0.9735 , 701.9516
0.9605 , 696.1438
0.9159 , 685.5952
0.8718 , 677.6894
0.8277 , 672.9552
0.7845 , 667.6920
0.7395 , 661.3725
0.6930 , 656.1110
0.6494 , 651.3766
0.6048 , 646.6427
0.5565 , 642.4394
0.5138 , 636.1187
0.5013 , 634.0109
0.4692 , 628.2131
0.4465 , 626.1107
0.4256 , 621.3643
0.3945 , 615.0375
0.3815 , 611.3441
0.3392 , 601.3229
0.2974 , 582.3151
0.2631 , 569.6467
0.2422 , 559.0856
0.2292 , 551.6920
0.1976 , 522.6353
0.1651 , 510.4945
0.1474 , 496.7601
0.1354 , 485.1371
0.1042 , 457.6660
0.0954 , 448.1558
0.0875 , 437.0592
0.0792 , 428.0773
0.0713 , 418.5665
0.0620 , 407.4707
0.0541 , 396.9027
0.0457 , 386.8636
0.0383 , 375.7668
0.0304 , 362.0272
0.0229 , 348.8160
0.0169 , 335.6040
0.0118 , 312.3480
0.0062 , 292.2639
0.0034 , 270.5925
0.0010 , 205.5750
0.0006 , 172.2731
0.0001 , 137.9139
0.0001 , 104.6116
0.0000 , 68.1378
-0.0014 , 33.7791
