ACK-2-8-1,
X,Y
0.9920 , 660.7104
0.9456 , 652.8059
0.9005 , 645.4292
0.8546 , 639.6388
0.8086 , 633.8484
0.7626 , 629.6438
0.7158 , 624.3826
0.6703 , 620.1778
0.6234 , 615.9737
0.5774 , 611.7691
0.5310 , 607.0362
0.4855 , 600.7170
0.4757 , 599.6649
0.4390 , 593.3410
0.4214 , 592.8217
0.3940 , 585.9643
0.3666 , 582.2786
0.3485 , 575.9449
0.3146 , 569.0909
0.3049 , 562.2241
0.2649 , 552.7303
0.2338 , 534.7741
0.2134 , 533.1991
0.1990 , 516.8199
0.1646 , 497.2796
0.1303 , 475.6249
0.0996 , 449.2108
0.0884 , 438.6445
0.0796 , 431.7773
0.0703 , 422.7959
0.0610 , 413.2859
0.0513 , 401.6617
0.0425 , 390.5656
0.0350 , 379.4688
0.0271 , 365.7292
0.0085 , 306.0064
0.0034 , 280.6360
0.0006 , 246.8066
0.0001 , 166.9872
-0.0004 , 125.7561
-0.0009 , 85.0537
