PFA2,
X,Y
0.9297 , 159.7068
0.8290 , 159.7391
0.7291 , 159.6063
0.6273 , 159.4710
0.5255 , 159.1695
0.4286 , 158.7086
0.3860 , 158.4859
0.1125 , 154.4679
0.0498 , 149.7334
0.0103 , 145.5281
