OS6_square,
X,Y
0.0019 , 79.7287
0.0029 , 88.8533
0.0270 , 121.2454
0.0491 , 136.7571
0.1002 , 153.1813
0.1513 , 164.5869
0.1975 , 171.8866
0.2495 , 176.9051
0.2977 , 181.9236
0.3439 , 185.1171
0.4981 , 192.8730
0.5954 , 196.0666
0.6956 , 199.2602
0.8468 , 201.5413
0.8998 , 201.9975
