BPQ,
X,Y
0.9269 , 17.2414
0.8316 , 16.8966
0.6974 , 16.5517
0.5475 , 16.4655
0.4847 , 16.2284
0.4569 , 16.0560
0.4110 , 15.8621
0.3293 , 15.1724
0.2571 , 14.5474
0.2394 , 14.1595
0.2265 , 13.9655
0.1848 , 13.2759
0.1361 , 12.4569
0.1188 , 12.0474
0.1016 , 11.6810
0.0768 , 11.0991
0.0654 , 10.7543
0.0520 , 10.4310
0.0430 , 10.0431
0.0115 , 8.5560
