BP8,
X,Y
0.7629 , 4.2026
0.7001 , 4.0948
0.6091 , 4.0517
0.5530 , 4.0517
0.4585 , 3.9655
0.4232 , 3.9655
0.3761 , 4.0302
0.3678 , 3.9009
0.3110 , 3.9871
0.2772 , 3.8793
0.2443 , 3.9224
0.2309 , 3.8362
0.2015 , 3.7500
0.1603 , 3.7500
0.1340 , 3.7069
0.0889 , 3.5129
0.0591 , 3.4267
0.0496 , 3.2328
0.0214 , 3.2759
0.0100 , 3.2543
