VC5-H-17%,
X,Y
1.0004 , 210.2532
0.9006 , 205.6737
0.8002 , 207.2456
0.7012 , 206.3576
0.6028 , 207.1106
0.5018 , 205.4011
0.4014 , 204.5122
0.3023 , 203.6243
0.2542 , 202.3610
0.1999 , 201.0936
0.1531 , 200.6515
0.1008 , 198.1551
0.0683 , 195.6721
0.0337 , 192.3675
0.0058 , 184.9664
