VC5-H-15%,
X,Y
0.9910 , 257.0000
0.8092 , 257.6960
0.6220 , 257.9781
0.4144 , 256.1957
0.2780 , 254.8722
0.2020 , 253.1798
0.1356 , 248.6231
0.0847 , 244.4871
0.0541 , 241.1853
0.0229 , 232.5515
0.0025 , 216.9532
