VC5-H-13%,
X,Y
1.0006 , 311.5520
0.9015 , 302.4617
0.8025 , 301.1637
0.7028 , 299.8652
0.6024 , 298.1561
0.5020 , 293.1661
0.4016 , 291.4570
0.3005 , 288.1070
0.2530 , 285.2037
0.1987 , 283.9362
0.1519 , 281.0334
0.0976 , 275.2547
0.0610 , 269.0779
0.0284 , 257.5724
