L275F850A3.2,
X,Y
0.9882 , 13.2242
0.9009 , 12.8985
0.8018 , 12.7820
0.7001 , 12.6657
0.6002 , 12.5791
0.5019 , 12.4825
0.4011 , 12.3462
0.3016 , 12.2000
0.2008 , 12.0040
0.1521 , 11.8661
0.1021 , 11.6984
0.0830 , 11.5896
0.0613 , 11.4410
