L400F850,
X,Y
0.9995 , 1.2268
0.9551 , 1.1631
0.9009 , 1.1408
0.8007 , 1.1190
0.6987 , 1.1018
0.5986 , 1.0800
0.4985 , 1.0766
0.3993 , 1.0708
0.2991 , 1.0513
0.2494 , 1.0267
0.2006 , 1.0020
0.1499 , 0.9590
0.1001 , 0.9115
0.0495 , 0.8799
0.0350 , 0.8503
0.0194 , 0.7863
