KUR-BO8-30min,
X,Y
0.2085 , 161.7409
0.1663 , 161.8458
0.1250 , 159.7677
0.1110 , 159.3124
0.0977 , 158.8830
0.0845 , 156.9776
0.0711 , 155.8050
0.0585 , 156.1342
0.0461 , 153.5167
0.0343 , 151.6578
0.0238 , 149.1023
0.0146 , 145.1123
0.0079 , 139.7290
0.0037 , 133.6906
