coconut_shells_400stC,
X,Y
0.9901 , 10.8278
0.9826 , 10.5276
0.9733 , 10.1524
0.9640 , 9.9275
0.9466 , 9.8536
0.9211 , 9.4044
0.8981 , 9.1806
0.8757 , 9.0319
0.8527 , 8.8081
0.8067 , 8.5860
0.7551 , 8.5147
0.7035 , 8.2178
0.6551 , 7.9959
0.6053 , 7.9244
0.5513 , 7.7029
0.5016 , 7.6315
0.4518 , 7.4848
0.4046 , 7.3380
0.3543 , 7.3418
0.3052 , 7.1951
0.2791 , 7.1971
0.2542 , 7.1237
0.2281 , 6.9001
0.2051 , 6.9771
0.1790 , 6.9038
0.1529 , 6.9810
0.1287 , 6.7572
0.1032 , 6.3080
0.0783 , 5.6332
0.0510 , 4.2067
