3.5-1,
X,Y
1.0005 , 667.5961
0.9491 , 663.4916
0.9012 , 658.2560
0.8493 , 652.4414
0.7978 , 649.4761
0.7521 , 647.6629
0.7027 , 645.2719
0.6502 , 642.8739
0.6019 , 640.4852
0.5499 , 638.6580
0.5026 , 636.2717
0.4480 , 631.0209
0.3971 , 625.7782
0.3472 , 621.1076
0.3025 , 616.4487
0.2490 , 608.9217
0.2001 , 599.1268
0.1492 , 587.6184
0.1024 , 567.5750
0.0509 , 527.0148
0.0103 , 445.4665
