800_f3,
X,Y
0.0484 , 610.7411
0.0988 , 675.4739
0.1509 , 712.7265
0.2025 , 737.6778
0.2469 , 748.5579
0.2977 , 758.9039
0.3512 , 766.1858
0.4008 , 770.4993
0.4515 , 774.9813
0.5016 , 779.2363
0.5521 , 779.2574
0.6016 , 782.3391
0.6516 , 783.8969
0.7018 , 785.8596
0.8017 , 788.7118
0.8519 , 790.0591
0.9024 , 794.8557
0.9538 , 800.9412
0.7523 , 787.9214
0.9949 , 802.1609
0.0098 , 514.8324
0.0062 , 498.3424
0.0051 , 484.1223
0.0026 , 464.2166
