4-1,
X,Y
1.0005 , 710.8872
0.9496 , 705.6446
0.9012 , 703.8256
0.8503 , 700.2918
0.7978 , 698.4634
0.7526 , 697.7907
0.7027 , 696.5377
0.6507 , 691.8624
0.6003 , 690.0387
0.5494 , 687.0745
0.4979 , 685.8181
0.4480 , 682.8563
0.3981 , 679.3249
0.3477 , 674.0835
0.3025 , 668.8537
0.2495 , 659.6191
0.2006 , 647.5457
0.1507 , 626.3561
0.0489 , 514.4784
0.0123 , 430.6610
0.1019 , 588.0802
