4.5-1,
X,Y
1.0000 , 805.4430
0.9491 , 798.4916
0.8956 , 795.5216
0.8488 , 793.1364
0.7984 , 791.3127
0.7505 , 789.4948
0.6991 , 786.5295
0.6492 , 784.7070
0.5993 , 782.3148
0.5494 , 779.3530
0.4985 , 776.9585
0.4475 , 775.1336
0.3971 , 772.1707
0.3457 , 766.9269
0.3014 , 759.9906
0.2500 , 751.3291
0.2001 , 736.9749
0.1497 , 715.2145
0.1008 , 678.0778
0.0494 , 610.1758
0.0093 , 510.4008
