P-ACF-57,
X,Y
1.0083 , 22.6421
0.9609 , 21.7247
0.9131 , 21.4443
0.8952 , 21.3564
0.8743 , 21.3025
0.8494 , 21.2311
0.8105 , 21.1238
0.7417 , 21.0134
0.6720 , 20.8340
0.6102 , 20.7071
0.5613 , 20.6159
0.5404 , 20.5793
0.5174 , 20.5425
0.5015 , 20.4892
0.4776 , 20.4523
0.4517 , 20.3808
0.4068 , 20.3073
0.3321 , 20.0929
0.2544 , 19.8439
0.1777 , 19.5605
0.1021 , 19.0189
0.0547 , 18.2048
0.0159 , 16.1175
-0.0022 , 12.7926
