0,0219	11,9495
0,0313	12,4795
0,0356	12,9464
0,0413	13,1735
0,0450	13,3502
0,0519	13,5647
0,0581	13,7918
0,0631	13,9937
0,0706	14,1956
0,0794	14,4353
0,0875	14,6120
0,0944	14,7886
0,1019	14,9401
0,1094	15,1167
0,1194	15,2934
0,1256	15,4196
0,1338	15,5584
0,1419	15,6593
0,1519	15,7855
0,1606	15,8991
0,1700	16,0252
0,1794	16,0631
0,1894	16,1388
0,2013	16,2397
0,2087	16,3281
0,2450	16,5804
0,2744	16,6940
0,3175	16,8202
0,3656	16,9211
0,4050	16,9842
0,4450	17,0347
0,4731	17,0473
0,5131	17,1104
0,5556	17,1230
0,5819	17,1735
0,6231	17,2240
0,6513	17,2492
0,7019	17,2240
0,7469	17,3123
0,7875	17,3123
0,8156	17,2871
0,8637	17,3249
0,8906	17,3375
0,9506	17,3880
0,9875	17,5016
