Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
2_1,17%BO,662,0.29,0.29,,,,,,,,
2_1,48%BO,1128,0.49,0.49,,,,,,,,
2_1,5%BO,212,0.12,0.11,,,,,,,,
2_1,57%BO,1260,0.55,0.55,,,,,,,,
2_1,7%BO,384,0.20,0.19,,,,,,,,
2_2,0%BO,1.2,0.002,,,,,,,,,
2_2,16%BO,291,0.18,0.17,,,,,,,,
2_2,26%BO,659,0.30,0.29,,,,,,,,
2_2,36%BO,802,0.36,0.35,,,,,,,,
2_2,53%BO,1035,0.45,0.45,,,,,,,,
2_2,74%BO,1545,0.69,0.68,,,,,,,,
