Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
4,AC1,378,,0.18,,,,,,,,
4,D-AC,607,,0.31,,,,,,,,
4,W-AC,785,,0.44,,,,,,,,
6,AC1,,,,,,,,,,,
6,D-AC,607,,0.31,,,,,,,,
6,n_AC1,828,,0.43,,,,,,,,
6,n_AC2,515,,0.25,,,,,,,,
