Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
2,Commercial,837.8,0.47,0.40,,,,,,,,
2,Z0.15,484.1,0.25,0.25,,2.05,,,,,,
2,Z0.28,926.8,0.48,0.47,,2.05,,,,,,
2,Z0.40,1078.2,0.54,0.54,,2.06,,,,,,
2,Z0.53,1307.7,0.68,0.67,,2.09,,,,,,
2,Z0.65,1671.6,0.99,0.87,,2.36,,,,,,
3,CZ0.15,583,0.43,0.423,,1.99,,,,,,
3,CZ0.28,869.9,0.45,0.425,,2.02,,,,,,
3,CZ0.40,947.6,0.48,0.48,,2.03,,,,,,
3,CZ0.53,1178.9,0.62,0.61,,2.08,,,,,,
3,CZ0.65,1193.2,0.67,0.62,,2.32,,,,,,
