Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
3,350,534,,0.211,,,,,,,,
3,450,1320,,0.515,,,,,,,,
3,500,1347,,0.634,,,,,,,,
3,600,1153,,0.476,,,,,,,,
6_1,0.7,,,0.350,,,,,,,,
6_1,1,,,0.528,,,,,,,,
6_1,1.5,,,0.679,,,,,,,,
6_1,2.3,,,0.952,,,,,,,,
6_2,0.4,,,0.278,,,,,,,,
6_2,0.7,,,0.426,,,,,,,,
6_2,1,,,0.634,,,,,,,,
6_2,1.5,,,0.712,,,,,,,,
6_2,2.3,,,1.039,,,,,,,,
