Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
1,ADH,,,,,,,,,,,
1,HAS,,,,,,,,,,,
1,KUA31752,,,,,,,,,,,
1,KUA31752HT,,,,,,,,,,,
1,PR,,,,,,,,,,,
1,PVA,,,,,,,,,,,
1,TF,,,,,,,,,,,
1,WSC,,,,,,,,,,,
3,WSC10,,,,,,,,,,,
3,WSC15,,,,,,,,,,,
3,WSC15_crushed,,,,,,,,,,,
3,wsc20,,,,,,,,,,,
