Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
5,F1-0,130.5,0.06,0.05,,,,,,,,
5,F1-14,393.7,0.17,0.16,,,,,,,,
5,F1-23,330.2,0.16,0.16,,,,,,,,
5,F1-37,390.0,0.18,0.19,,,,,,,,
5,F1-40,613.5,0.26,0.25,,,,,,,,
5,F1-53,1238.6,0.54,0.46,,,,,,,,
5,F1-64,1313.6,0.59,0.46,,,,,,,,
5,F1-76,1341.3,0.60,0.49,,,,,,,,
5,F1-90,1213.4,0.54,0.43,,,,,,,,
6,F1-8-0,,,,,,,,,,,
6,F1-8-10,371.0,0.16,0.16,,,,,,,,
6,F1-8-11,448.0,0.19,0.19,,,,,,,,
6,F1-8-22,555.3,0.26,0.25,,,,,,,,
6,F1-8-32,718.0,0.31,0.30,,,,,,,,
6,F1-8-50,912.8,0.39,0.38,,,,,,,,
6,F1-8-52,964.5,0.46,0.41,,,,,,,,
6,F1-8-61,985.3,0.45,0.39,,,,,,,,
6,F1-8-77,762.0,0.35,0.29,,,,,,,,
7,F1N-12,369.8,0.17,0.16,,,,,,,,
7,F1N-25,577.2,0.27,0.25,,,,,,,,
7,F1N-36,790.6,0.35,0.34,,,,,,,,
7,F1N-40,829.9,0.36,0.33,,,,,,,,
7,F1N-51,1284.4,0.59,0.47,,,,,,,,
7,F1N-61,1284.4,0.60,0.41,,,,,,,,
7,F1N-85,1269.5,0.60,0.45,,,,,,,,
8,F2-12,310.7,0.14,0.14,,,,,,,,
8,F2-26,433.0,0.19,0.19,,,,,,,,
8,F2-30,540.8,0.24,0.23,,,,,,,,
8,F2-41,719.8,0.32,0.30,,,,,,,,
8,F2-48,1013.5,0.45,0.39,,,,,,,,
8,F2-66,976.2,0.44,0.37,,,,,,,,
8,F2-74,1396.7,0.62,0.50,,,,,,,,
8,F2-94,1535.2,0.73,0.53,,,,,,,,
