Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
4,F300F850,,,,,,,,,,,
4,F850,,,,,,,,,,,
4,L275F850,,,,,,,,,,,
4,L285F850,,,,,,,,,,,
4,L300F850,,,,,,,,,,,
4,L400F850,,,,,,,,,,,
4,L850,,,,,,,,,,,
5,F300F850A4.7,,,,,,,,,,,
5,F850A4,1315.4,,,,,,,,,,
5,L275F850A3.2,1225.6,,,,,,,,,,
5,L285F850A3.7,1236.0,,,,,,,,,,
5,L300F850A4.2,1202.4,,,,,,,,,,
5,L400F850A4,1157.4,,,,,,,,,,
5,L850A4,1241.0,,,,,,,,,,
