Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
2_1,ACK-0.5-6,644,0.404,0.312,,4.81,,,,,,
2_1,ACK-1-6,705,0.429,0.344,,4.62,,,,,,
2_1,ACK-2-6,1006,0.578,0.505,,2.30,,,,,,
2_1,ACK-3-6,970,0.545,0.454,,2.23,,,,,,
2_2,ACZ-1-6,901,0.514,0.428,,2.28,,,,,,
2_2,ACZ-2-6,996,0.640,0.496,,2.31,,,,,,
2_2,ACZ-3-6,1268,0.760,0.531,,2.39,,,,,,
3_1,ACK-2-6,,,,,,,,,,,
3_1,ACK-2-7,1694,0.887,0.700,,2.10,,,,,,
3_1,ACK-2-8,1951,1.092,0.756,,2.27,,,,,,
3_2,ACK-3-6,970,0.545,0.454,,2.23,,,,,,
3_2,ACK-3-7,1111,0.592,0.487,,2.13,,,,,,
3_2,ACK-3-8,1854,0.992,0.724,,2.26,,,,,,
3_3,ACZ-3-6,,,,,,,,,,,
3_3,ACZ-3-7,1176,0.720,0.505,,2.45,,,,,,
3_3,ACZ-3-8,1310,0.798,0.547,,2.49,,,,,,
4,ACK-2-8,1951,1.092,0.756,,2.27,,,,,,
4,ACK-2-8-1,1846,1.023,0.735,,2.22,,,,,,
4,ACK-2-8-2,1901,1.026,0.726,,2.26,,,,,,
4,ACK-2-8-3,2125,1.238,0.834,,2.33,,,,,,
