Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
9_1,series-VC5-C3-10%,,,,,,,,,,,
9_1,series-VC5-C3-12%,,,,,,,,,,,
9_1,series-VC5-C3-14%,,,,,,,,,,,
9_2,VC5-C2-10%,,,,,,,,,,,
9_2,VC5-C2-13%,,,,,,,,,,,
9_2,VC5-C2-15%,,,,,,,,,,,
9_3,VC5-C-13%,,,,,,,,,,,
9_3,VC5-C-14%,,,,,,,,,,,
9_3,VC5-C-16%,,,,,,,,,,,
9_3,VC5-C-9%,,,,,,,,,,,
9_3,VC5-C-VC5,,,,,,,,,,,
9_5,V-C'-12%,,,,,,,,,,,
9_5,V-C'-13%,,,,,,,,,,,
9_5,V-C'-14%,,,,,,,,,,,
9_5,V-C'-15%,,,,,,,,,,,
9_5,V-C'-9%,,,,,,,,,,,
9_6,VC5-H-10%,,,,,,,,,,,
9_6,VC5-H-13%,,,,,,,,,,,
9_6,VC5-H-15%,,,,,,,,,,,
9_6,VC5-H-17%,,,,,,,,,,,
9_6,VC5-H-7%,,,,,,,,,,,
9_7,V-H-11%,,,,,,,,,,,
9_7,V-H-14%,,,,,,,,,,,
9_7,V-H-9%,,,,,,,,,,,
