Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
1,500,640,0.32,0.2944,,2.0,500,120,2,chemical,KOH,phenol_formaldehyde_resins
1,600,1140,0.57,0.5358,,2.0,600,120,2,chemical,KOH,phenol_formaldehyde_resins
1,700,1590,0.84,0.7392,,2.1,700,120,2,chemical,KOH,phenol_formaldehyde_resins
1,800,1840,0.96,0.8448,,2.1,800,120,2,chemical,KOH,phenol_formaldehyde_resins
1,900,900,0.52,0.4004,,2.3,900,120,2,chemical,KOH,phenol_formaldehyde_resins
2,24%,720,0.34,0.34,,1.9,900,,,physical,CO2,phenol_formaldehyde_resins
2,33%,960,0.45,0.45,,1.9,900,,,physical,CO2,phenol_formaldehyde_resins
2,46%,1100,0.53,0.5088,,1.9,900,,,physical,CO2,phenol_formaldehyde_resins
2,57%,1540,0.75,0.7125,,1.9,900,,,physical,CO2,phenol_formaldehyde_resins
2,68%,1940,0.94,0.8742,,1.9,900,,,physical,CO2,phenol_formaldehyde_resins
2,78%,2220,1.10,0.99,,2.0,900,,,physical,CO2,phenol_formaldehyde_resins
2,burn-off=15%,530,0.25,0.25,,1.9,900,,,physical,CO2,phenol_formaldehyde_resins
