Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
4_1,Conoco_pure-120min,,,,,,,,,,,
4_1,Conoco_pure-360min,,,,,,,,,,,
4_1,Conoco_pure-540min,2519,,,,,,,,,,
4_2,Conoco_Ag-120min,,,,,,,,,,,
4_2,Conoco_Ag-240min,,,,,,,,,,,
4_2,Conoco_Ag-360min,,,,,,,,,,,
4_2,Conoco_Ag-540min,2484,,,,,,,,,,
5_1,Korean_pure-120min,,,,,,,,,,,
5_1,Korean_pure-240min,,,,,,,,,,,
5_1,Korean_pure-360min,2597,,,,,,,,,,
5_2,Korean_Ag-120min,,,,,,,,,,,
5_2,Korean_Ag-240min,2801,,,,,,,,,,
5_2,Korean_Ag-30min,,,,,,,,,,,
5_2,Korean_Ag-60min,,,,,,,,,,,
