Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
1,UAK1-800,726,0.33,,,,,,,,,
1,UAK2-800,2021,0.89,,,,,,,,,
1,UAK3-800,2758,1.35,,,,,,,,,
1,UAK4-800,3290,1.45,,,,,,,,,
1,UAK5-800,3183,1.44,,,,,,,,,
3,UAK2-200,1305,0.58,,,,,,,,,
3,UAK2-400,1580,0.71,,,,,,,,,
3,UAK2-80,945,0.43,,,,,,,,,
3,UAK2-800,2021,0.89,,,,,,,,,
4,UAK4-200,2637,1.28,,,,,,,,,
4,UAK4-400,2817,1.34,,,,,,,,,
4,UAK4-800,3290,1.45,,,,,,,,,
5,UAK2-800d-without_washing,2111,0.91,,,,,,,,,
5,UAK2-800d_washed_H2O,,,,,,,,,,,
5,UAK2-800d_washed_HCL_H2O,,,,,,,,,,,
