Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
4_1,300stC,633,0.33,0.19,,,,,,,,
4_1,400stC,910,0.47,0.28,,,,,,,,
4_1,500stC,1016,0.53,0.31,,,,,,,,
4_1,600stC,996,0.50,0.31,,,,,,,,
4_1,700stC,651,0.32,0.21,,,,,,,,
4_2,1-1-5,886,0.46,0.27,,,,,,,,
4_2,1-2,1016,0.53,0.31,,,,,,,,
4_2,1-2-5,773,0.40,0.23,,,,,,,,
4_2,1-3,543,0.29,0.16,,,,,,,,
4_3,1-25h,987,0.51,0.30,,,,,,,,
4_3,1-5h,947,0.49,0.29,,,,,,,,
4_3,1h,1016,0.53,0.31,,,,,,,,
4_3,2h,865,0.45,0.26,,,,,,,,
