Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
4,KOH(2.5_1),463.67,0.612,,,,,,,,KOH,
4,KOH(4_1),671.68,0.698,,,,,,,,KOH,
4,NaOH(2.5_1),143.84,0.159,,,,,,,,NaOH,
4,NaOH(4_1),251.57,0.257,,,,,,,,NaOH,
5,0.15-0.25mm,1826.41,1.25,,,,,,,,,
5,0.25-0.50mm,1179.9,0.79,,,,,,,,,
5,0.50-1.00mm,582.4,0.42,,,,,,,,,
9,AC-1,143.84,0.220,0.063,,,,,,,,
9,AC-2,161.54,0.280,0.075,,,,,,,,
9,AC-3,258.00,0.440,0.079,,,,,,,,
9,AC-4,275.15,0.360,0.236,,,,,,,,
9,AC-6,671.68,0.698,0.583,,,,,,,,
9,AC-7,1216.36,0.765,0.664,,,,,,,,
9,AC-8,1374.20,1.037,0.885,,,,,,,,
9,AC-9,1826.41,1.252,0.887,,,,,,,,
