Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
5_1,700-3h,448.4,0.19,,,,,,,,,
5_1,700-6h,535.5,0.22,,,,,,,,,
5_2,750-2h,667.9,0.29,,,,,,,,,
5_2,750-3h,759.5,0.33,,,,,,,,,
5_2,750-4h,816.3,0.37,,,,,,,,,
5_3,800-1h,770.1,0.33,,,,,,,,,
5_3,800-1h15m,817.2,0.38,,,,,,,,,
5_3,800-1h30m,902.3,0.42,,,,,,,,,
5_3,800-45m,1041.9,0.49,,,,,,,,,
5_4,850-30m,662.5,0.29,,,,,,,,,
5_4,850-45m,1041.9,0.49,,,,,,,,,
5_4,850-50m,735,0.34,,,,,,,,,
5_4,850-55m,815.2,0.37,,,,,,,,,
