Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
4_1,MS-900-15,1011,0.585,0.5179,,,,,,,,
4_1,MS-900-30,1363,0.8454,0.6727,,,,,,,,
4_1,MS-900-45,1677,1.0250,0.8339,,,,,,,,
4_1,MS-900-60,1888,1.1570,0.9483,,,,,,,,
4_1,MS-900-75,2079,1.2120,0.9735,,,,,,,,
4_2,MC900-120,1703,1.0320,0.8153,,,,,,,,
4_2,MC900-150,1905,1.204,0.9365,,,,,,,,
4_2,MC900-180,2080,1.2700,0.9974,,,,,,,,
4_2,MC900-210,2288,1.2990,1.0120,,,,,,,,
4_2,MC900-60,1162,0.7159,0.5703,,,,,,,,
4_2,MC900-90,1425,0.8820,0.7022,,,,,,,,
4_3,MCS900-15,1139,0.6911,0.5869,,,,,,,,
4_3,MCS900-30,1424,0.8276,0.7229,,,,,,,,
4_3,MCS900-45,1761,1.1020,0.8773,,,,,,,,
4_3,MCS900-60,2020,1.2480,1.0080,,,,,,,,
4_3,MCS900-75,2194,1.2930,1.0100,,,,,,,,
