Figure_number,Sample_name,Total_surface_area[m2/g],Total_pore_volume[cm3/g],Micropore_volume[cm3/g],Mesopore_volume[cm3/g],Average_pore_diameter[nm],Activation_temperature[stC],Activation_time[min],Impregnation_ratio[agent/char],Activation_type,Activation_agent,Material_type
1,KOH-2-1,1090,,0.49,,,,,,,,
1,KOH-4-1,1635,,0.78,,,,,,,,
1,KOH-6-1,2225,,0.90,,,,,,,,
1,KOH-8-1,2420,,0.94,,,,,,,,
1,NaOH-2-1,1130,,0.51,,,,,,,,
1,NaOH-4-1,2000,,0.81,,,,,,,,
1,NaOH-5-1,,,,,,,,,,,
1,NaOH-6-1,2541,,0.96,,,,,,,,
1,NaOH-8-1,3033,,1.02,,,,,,,,
4,20%_burnoff,644,,0.29,,,,,,,,
4,55%_burnoff,1528,,0.64,,,,,,,,
4,94%_burnoff,2487,,0.86,,,,,,,,
