C600-90,
X,Y
0.9899 , 220.2052
0.9500 , 217.7922
0.9030 , 215.5629
0.8514 , 213.7029
0.8035 , 212.7688
0.7528 , 211.0940
0.7035 , 209.6045
0.6537 , 208.2999
0.6030 , 206.8101
0.5513 , 205.5052
0.5006 , 204.3856
0.4499 , 203.4510
0.4029 , 202.7021
0.3560 , 201.2130
0.3372 , 201.0245
0.3104 , 200.0943
0.2860 , 199.9047
0.2545 , 198.7886
0.2024 , 197.2986
0.1526 , 195.2538
0.1038 , 192.0990
0.0916 , 190.9864
0.0803 , 190.2441
0.0728 , 189.1325
0.0620 , 187.8351
0.0526 , 186.1680
0.0408 , 183.9452
0.0319 , 181.7230
0.0215 , 177.4649
0.0107 , 170.2461
0.0088 , 166.3597
0.0059 , 162.8433
0.0040 , 157.4765
