AC900-120,
X,Y
0.9884 , 235.9818
0.9514 , 233.2573
0.8996 , 231.0817
0.8524 , 229.4516
0.8006 , 227.8223
0.7488 , 226.5571
0.7012 , 225.1091
0.6498 , 223.4797
0.6026 , 222.3958
0.5513 , 220.9485
0.5018 , 220.0471
0.4514 , 219.5100
0.4000 , 218.0627
0.3501 , 216.6151
0.3376 , 216.4353
0.3112 , 215.5297
0.2872 , 215.3520
0.2516 , 214.4481
0.2048 , 212.6358
0.1526 , 210.2782
0.1035 , 207.0096
0.0934 , 205.9190
0.0832 , 204.6463
0.0744 , 203.3733
0.0665 , 202.1001
