ZL3,
X,Y
0.9943 , 288.6897
0.9510 , 283.8621
0.9008 , 280.0000
0.8506 , 275.1724
0.8005 , 270.3448
0.7480 , 270.3448
0.7013 , 265.5172
0.6488 , 261.6552
0.5998 , 255.8621
0.5496 , 252.0000
0.5006 , 247.1724
0.4493 , 242.3448
0.3991 , 238.4828
0.3501 , 233.6552
0.2987 , 227.8621
0.2486 , 223.0345
0.1995 , 216.2759
0.1494 , 210.4828
0.0981 , 203.7241
0.0479 , 196.0000
0.0103 , 182.4828
