KUA21701a,
X,Y
0.9017 , 24.3401
0.8012 , 24.1943
0.7016 , 24.1700
0.6011 , 24.0972
0.5011 , 24.0486
0.4027 , 23.9514
0.3510 , 23.8785
0.3010 , 23.8057
0.2505 , 23.7085
0.2005 , 23.6356
0.1505 , 23.4656
0.1005 , 23.3198
0.0500 , 23.0769
0.0205 , 22.4453
0.0000 , 21.3036
