two-step-20%,
X,Y
-0.0008 , 43.3312
0.0053 , 185.4816
0.0534 , 226.8122
0.1058 , 234.5383
0.1531 , 237.6229
0.2077 , 241.8113
0.2561 , 245.3378
0.3067 , 246.2109
0.3601 , 249.5152
0.4080 , 251.0522
0.4597 , 253.9147
0.5092 , 255.4513
0.5559 , 258.0939
0.6077 , 259.6300
0.6555 , 261.8302
0.7045 , 265.1355
0.7562 , 267.7769
0.8029 , 271.3038
0.8558 , 273.5029
0.9048 , 277.2504
0.9571 , 277.9020
0.9943 , 283.4207
