one-step-20%,
X,Y
0.0021 , 167.8638
0.0093 , 186.6501
0.0565 , 207.5801
0.1091 , 213.4161
0.1538 , 215.8664
0.2064 , 219.5463
0.2590 , 222.3022
0.3100 , 223.8265
0.3579 , 227.1998
0.4112 , 228.7234
0.4575 , 229.6332
0.5093 , 230.8493
0.5571 , 233.9146
0.6058 , 235.7477
0.6576 , 238.1958
0.7054 , 239.1051
0.7572 , 240.9372
0.8050 , 243.6945
0.8568 , 247.0667
0.9094 , 248.2825
0.9588 , 250.1154
0.9934 , 255.6489
