one-step-25%,
X,Y
0.0019 , 36.9604
0.0055 , 99.1770
0.1084 , 127.1740
0.1532 , 129.0083
0.2057 , 130.8401
0.2583 , 132.0560
0.3093 , 134.1963
0.4097 , 135.3974
0.5085 , 135.6750
0.6073 , 137.1846
0.7077 , 136.8457
0.8081 , 136.8147
0.9070 , 138.9404
0.9972 , 141.0686
