UFA-2-600,
X,Y
0.0090 , 269.3940
0.0194 , 289.7800
0.0731 , 325.9190
0.1284 , 337.9654
0.1873 , 343.5252
0.2444 , 349.0851
0.2894 , 351.8650
0.3344 , 352.7916
0.3785 , 354.6449
0.4304 , 355.5715
0.4814 , 360.2047
0.5307 , 361.1314
0.5827 , 361.1314
0.6346 , 362.9847
0.6856 , 363.9113
0.7375 , 364.8379
0.7877 , 365.7646
0.8379 , 365.7646
0.8907 , 366.6912
0.9400 , 368.5445
0.9884 , 375.0310
