one_stage-500stC,
X,Y
0.9800 , 164.7154
0.9732 , 164.2348
0.9451 , 163.0358
0.8967 , 161.6005
0.8454 , 160.8894
0.7953 , 159.4545
0.7446 , 158.5021
0.6940 , 157.0674
0.6422 , 155.3918
0.5915 , 153.7159
0.5414 , 151.5575
0.4997 , 149.6383
0.4479 , 146.9981
0.3956 , 143.8757
0.3421 , 139.5477
0.2903 , 135.2194
0.1929 , 124.1496
0.1479 , 117.4081
0.0927 , 107.2928
0.0719 , 102.9569
0.0319 , 89.2206
0.0218 , 83.6764
