one_stage-450stC,
X,Y
0.0230 , 46.0555
0.0337 , 48.7057
0.0500 , 51.5957
0.0708 , 54.0022
0.0928 , 56.1673
0.1423 , 59.5316
0.1964 , 61.9301
0.2499 , 64.3288
0.2927 , 65.5243
0.3422 , 67.2004
0.3935 , 68.3939
0.4447 , 69.3461
0.4954 , 70.2985
0.5460 , 71.0098
0.5973 , 72.2032
0.6474 , 72.6735
0.6981 , 73.3847
0.7482 , 73.8549
0.7988 , 74.5662
0.8490 , 75.0364
0.8991 , 75.5067
0.9486 , 76.2182
0.9734 , 76.9357
0.9852 , 76.9328
