S-2,
X,Y
0.9875 , 35.3731
0.8983 , 32.1393
0.7988 , 31.7413
0.7001 , 31.3930
0.5998 , 31.0945
0.5003 , 30.7711
0.4016 , 30.1244
0.3490 , 29.6766
0.3012 , 28.9552
0.2516 , 28.0597
0.1998 , 26.8408
0.1515 , 25.4975
0.1023 , 23.6070
0.0762 , 22.4627
0.0513 , 21.0945
0.0378 , 20.1244
0.0177 , 18.3085
0.0063 , 17.0149
0.0058 , 16.1940
