A-2,
X,Y
0.0067 , 15.7711
0.0168 , 17.3134
0.0373 , 18.8557
0.0521 , 19.5274
0.0773 , 20.3483
0.1013 , 20.9453
0.1230 , 21.3682
0.1509 , 21.7662
0.1726 , 21.9900
0.2030 , 22.2637
0.2530 , 22.6368
0.3012 , 22.8856
0.3486 , 23.1841
0.4025 , 23.2587
0.4976 , 23.5572
0.6019 , 23.7065
0.7022 , 23.8557
0.7470 , 24.0050
0.8017 , 24.0299
0.8956 , 24.2289
0.9034 , 24.2537
0.9894 , 24.4279
