A-3,
X,Y
0.0064 , 18.9303
0.0122 , 20.2985
0.0218 , 21.8657
0.0310 , 22.9104
0.0411 , 23.8806
0.0516 , 24.6020
0.1013 , 27.6368
0.1518 , 29.5522
0.2005 , 30.6716
0.2514 , 31.3433
0.2996 , 31.7413
0.3509 , 32.0398
0.4000 , 32.2886
0.5021 , 32.6119
0.6016 , 32.8856
0.7011 , 33.1343
0.8010 , 33.3085
0.8975 , 33.6567
0.9488 , 33.8806
0.9875 , 34.6269
