CS-1,
X,Y
0.0121 , 18.8060
0.0274 , 20.4975
0.0522 , 21.7413
0.0779 , 22.5373
0.1019 , 23.9801
0.1515 , 24.9254
0.2028 , 25.5970
0.2519 , 26.0945
0.3015 , 26.4428
0.3510 , 26.7164
0.4001 , 26.9900
0.5013 , 27.2388
0.6000 , 27.3383
0.6968 , 27.3383
0.7981 , 27.5622
0.8984 , 27.7114
0.9888 , 27.8607
