NDC-500,
X,Y
0.9520 , 34.4781
0.9007 , 29.8021
0.8504 , 26.2585
0.8002 , 24.3331
0.7513 , 22.2453
0.7006 , 21.2909
0.6493 , 19.3657
0.6005 , 18.4106
0.5014 , 16.3392
0.4496 , 15.2232
0.3984 , 14.9162
0.3515 , 13.1514
0.2988 , 13.0067
0.2519 , 11.8892
0.1987 , 10.6119
0.1484 , 9.4955
0.0991 , 8.8642
0.0749 , 8.0629
0.0498 , 7.9093
0.0241 , 6.7849
0.0241 , 6.4612
0.0092 , 3.5535
