CA5,
X,Y
0.9954 , 575.9762
0.9598 , 521.4428
0.9401 , 503.9709
0.9036 , 479.0867
0.8520 , 448.9080
0.8035 , 421.9060
0.7011 , 373.7260
0.5979 , 336.1350
0.4985 , 304.3680
0.4476 , 292.1906
0.3991 , 278.4249
0.3467 , 265.7181
0.3005 , 251.9523
0.2489 , 239.2455
0.2049 , 228.1271
0.1950 , 226.0093
0.1510 , 213.8319
0.1002 , 198.4778
0.0486 , 179.4176
0.0288 , 166.7108
0.0129 , 152.9451
0.0076 , 143.4150
