KKSN,
X,Y
0.0489 , 235.1700
0.0984 , 248.0644
0.1513 , 252.5260
0.1986 , 257.2243
0.2503 , 259.9680
0.2998 , 262.9129
0.4000 , 267.4935
0.5012 , 272.2982
0.6003 , 277.0268
0.6993 , 284.5685
0.8017 , 294.5883
0.9007 , 309.6874
0.9953 , 319.4222
