KOHKN3,
X,Y
0.9015 , 296.7118
0.8012 , 295.2450
0.6996 , 295.0355
0.5997 , 292.3114
0.5025 , 290.8446
0.4022 , 288.5397
0.3010 , 286.8633
0.2502 , 284.7679
0.1998 , 283.0916
0.1494 , 280.5770
0.1035 , 275.7576
0.0783 , 276.5957
0.0487 , 273.2431
